n.node_id,n.longitude,n.latitude,elementid(n)
8333090839,20.6085199,-103.3962452,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14480
1427496620,20.608538,-103.367285,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5769
8785028536,20.6085475,-103.3947452,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14912
6532300889,20.6085517,-103.365418,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13204
6148072006,20.6085574,-103.42089,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12809
1450810314,20.6085662,-103.3722732,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6428
8785028535,20.608571,-103.3949932,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14911
6532300887,20.6085725,-103.3655792,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13203
1864344296,20.6085821,-103.3843944,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10565
1450810339,20.6085841,-103.370469,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6437
3022507427,20.6085889,-103.3657162,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12142
8366390739,20.6085892,-103.4266021,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14694
1450810313,20.608597,-103.3723823,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6427
1727349527,20.6086104,-103.3570431,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9829
1953580207,20.6086158,-103.4319846,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11579
1654013117,20.6086241,-103.4202524,4:8f62eafb-529f-4b3e-90b9-a12853359b86:8442
1453347309,20.6086246,-103.3763814,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6645
2141448571,20.6086257,-103.4067026,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11789
1454530711,20.6086323,-103.3806732,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6739
3022507428,20.6086338,-103.3663056,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12143
1727349551,20.6086353,-103.3571242,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9830
1432255064,20.6086417,-103.3956229,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5840
1450810332,20.608663,-103.370925,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6431
8292292625,20.6086665,-103.3569926,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14265
